,Package,Category,Reason to Discard (Where)
25,learNN,CL,"Implement some basic neural networks from \url{http://qua.st/} (DESCRIPTION file). Examples seem to focus on binary classification (::learn_gd, ::learn_bp)."
26,LilRhino,AP,"Provide binary neural networks meant for reducing data (DESCRIPTION file), a random forest style collection of neural networks for classification (::Random_Brains), and code for even more purposes. Documentation is satisfyingly clear for a package for applications: a 3 layer network with an adam optimizer, with an explanation of its activation functions (::Binary_Network)"
27,neural,CL,"An implementation of ""a simple MLP neural network that is suitable for classification tasks"" (::mlptrain)"
28,NeuralNetTools,UT,"Out of scope: Functions are available for plotting, quantifying variable importance, conducting a sensitivity analysis, and obtaining a simple list of model weights (DESCRIPTION file and Help Pages titles)"
29,NeuralSens,UT,"A greater focus on sensitivity, with additional functions (DESCRIPTION file)"
30,NlinTS,TS,A non-linear version of a causality test with feed forward neural networks and a Vector Auto-Regressive Neural Network (VARNN) for non-linear time series analysis models (DESCRIPTION file)
31,nnetpredint,UT,Out of scope: Computing prediction intervals of neural network models at certain confidence level (DESCRIPTION file)
32,nnfor,TS,Automatic to fully manual time series modelling with neural networks (DESCRIPTION file)
33,nnlib2Rcpp,CL,"Provide a collection of neural networks, but examples seem to indicate classification and testing our code with the functions provided led to error. Using the RcppClass might be confusing for less experienced R users (::NN-class)"
34,nntrf,AP,"Provide useful pre-processing for Machine Learning tasks through data transformation in a non-linear, supervised way with a perceptron (DESCRIPTION file)"
35,onnx,UT,"Aims to provide an open source format for neural networks, with definitions of an extensible computation graph model, built-in operators, and standard data types (DESCRIPTION file)"
36,OptimClassifier,UT,"Search for the best amount of neurons for binary classifcation neural networks, among other types of binary classifiers (based on how Optim.NN works & DESCRIPTION file)"
37,OSTSC,UT,A tool to solve imbalanced data for univariate time series classification with oversampling using integrated ESPO and ADASYN methods (DESCRIPTION file) thus improving the performance of RNN classifiers (vignette)
38,passt,AP,"This package provides implementation of the Probability Associator Time (PASS-T) model, a memory model based on a simple competitive artificial neural network which imitates human judgment of frequency and duration (DESCRIPTION file)"
39,pnn,CL,"This package provides implementation of the Specht algorithm, 1990, for classification with four functions: learn, smooth, perf, and guess (DESCRIPTION file)"
40,polyreg,XX,Polyregression as alternative to NN (DESCRIPTION file)
41,predictoR,RE,"A shiny interface for supervised learning with very minimal documentation. Users may be additionally confused when opening the application only to find that it's default language is Espanol, although this can be changed in the Idioma section. (DESCRIPTION file & ::init_predictor)"
42,ProcData,AP,"Provide tools for exploratory process data analysis via functions: reading, process manipulation, action sequence generators, feature extraction and prediction (link + DESCRIPTION file)"
43,quarrint,AP,"Out of scope: provide two indexes for interaction prediction between groundwater and quarry extension, one of which is an artificial neural network ; specified classifier for quarry data (help page - quarrint-package and DESCRIPTION file)"
44,rasclass,CL,Provide neural networks as one of the five supervised classification algorithms for raster images with a design meant to facilitate land-cover analysis (DESCRIPTION file)
45,rcane,RE,"Provide parameter estimation for linear regression, which was not appropriate for the relationships in our data. (DESCRIPTION file)"
46,regressoR,RE,A manual rich version of predictoR
47,rnn,AP,"Implementations of the vanilla Recurrent Neural Network, Long Short-Term Memory (LSTM), and Gated Recurrent Unit (GRU) in native R (DESCRIPTION file)"
48,RTextTools,AP,Out of scope: A machine learning package for automatic text classification (DESCRIPTION file)
49,ruta,AP,unsupervised neural networks (DESCRIPTION file)
50,simpleNeural,CL,Neural networks for multi-class or binary classification (DESCRIPTION file)
51,softmaxreg,CL,Out of scope: Implementation of 'softmax' regression and classification models with multiple layer neural network (DESCRIPTION file)
52,Sojourn.Data,AP,Stores some neural networks used for Sojourn Accelerometer methods (DESCRIPTION file)
53,spnn,CL,Out of scope : Scale invariant version of the original PNN with the added functionality of allowing for smoothing along multiple dimensions while accounting for covariances within the data set (DESCRIPTION file)
54,studyStrap,AP,"Implements multi-study learning algorithms such as merging, the study-specific ensemble the study strap, the covariate-matched study strap, covariate-profile similarity weighting, and stacking weights with single-study learners from caret (DESCRIPTION file)"
55,TeachNet,CL,"Provide neural networks with up to 2 hidden layers, 2 different error functions, and a weight decay for 2 class classification : it is slow. (DESCRIPTION file & ::TeachNet)"
56,tensorflow,RE,See section on keras
57,tfestimators,RE,See section on keras
58,trackdem,AP,An artificial neural network can be trained for filtering false positives present in video materials or image sequences (DESCRIPTION file)
59,TrafficBDE,RE*,"Use caret for a grid of parameters for 3 layers combined with neuralnet. Is very slow. Out of scope to test one layer perceptrons. We recommend the author to use other packages and lessen the number of layers. Datasets in Traffic Status Prediction and Urban Places are similar in nature to ours (TrainCR.R, DESCRIPTION file)"
60,tsfgrnn,TS,Out of scope: A general regression neural network (GRNN) is a variant of a Radial Basis Function Network. Allow you to forecast time series using an autoregressive GRNN model (DESCRIPTION file)
61,yager,RE*,"This package provides a neural network that behaves differently from a perceptron. Results indicate that predictions are quite close to the real values, however this comes at the cost of a large number of weights. With less weights or insufficient training data, the performance isn't as great. (::grnn.fit)"
62,yap,CL,"Yet another PNN, with a N-level response, where N > 2 (DESCRIPTION file)"
63,zFactor,AP,Computational algorithms to solve equations and find the 'compressibility' factor `z` of hydrocarbon gases (DESCRIPTION file)

